priority,transaction_id,cohort,merchant,amount,primary_cause,recommended_action
P1,51c7da56-a373-4753-9d69-016e0e12124c,A_NOT_APPROVED,Google Workspace,16.8,Awaiting approval,Approve transaction
P2,51c7da56-a373-4753-9d69-016e0e12124c,A_NOT_APPROVED,Google Workspace,16.8,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,0f98a634-e8fa-4be3-80f4-2c9ea11651df,A_NOT_APPROVED,Google Cloud,208.87,Awaiting approval,Approve transaction
P2,0f98a634-e8fa-4be3-80f4-2c9ea11651df,A_NOT_APPROVED,Google Cloud,208.87,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,5ffee5fa-bfa5-438d-a30e-03cb7719d3d8,A_NOT_APPROVED,Google Cloud,459.49,Awaiting approval,Approve transaction
P2,5ffee5fa-bfa5-438d-a30e-03cb7719d3d8,A_NOT_APPROVED,Google Cloud,459.49,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,0d1d9dd0-7342-481e-82c4-eefaf60121b6,A_NOT_APPROVED,Microsoft Office / Azure,6.3,Awaiting approval,Approve transaction
P2,0d1d9dd0-7342-481e-82c4-eefaf60121b6,A_NOT_APPROVED,Microsoft Office / Azure,6.3,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,9b66a29a-ac92-40ba-b0c3-a9fb0dc88cdf,A_NOT_APPROVED,Alaska Airlines,556.8,Awaiting approval,Approve transaction
P2,9b66a29a-ac92-40ba-b0c3-a9fb0dc88cdf,A_NOT_APPROVED,Alaska Airlines,556.8,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,aeff3f69-5851-4166-b90d-7c9e6a4f79fb,A_NOT_APPROVED,Delta Air Lines,349,Awaiting approval,Approve transaction
P2,aeff3f69-5851-4166-b90d-7c9e6a4f79fb,A_NOT_APPROVED,Delta Air Lines,349,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,8ff6bd48-4333-4fe0-b03b-5c896cbe8ebc,A_NOT_APPROVED,American Airlines,112.11,Awaiting approval,Resolve policy violation/exception in Ramp policy workflow
P1,8ff6bd48-4333-4fe0-b03b-5c896cbe8ebc,A_NOT_APPROVED,American Airlines,112.11,Awaiting approval,Approve transaction
P2,8ff6bd48-4333-4fe0-b03b-5c896cbe8ebc,A_NOT_APPROVED,American Airlines,112.11,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,5a672bd0-d2e3-4a77-adf8-8f015d016d7d,A_NOT_APPROVED,Microsoft Office / Azure,8.28,Awaiting approval,Approve transaction
P2,5a672bd0-d2e3-4a77-adf8-8f015d016d7d,A_NOT_APPROVED,Microsoft Office / Azure,8.28,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,c4578c12-33f5-4380-b23d-c2fcc76df07e,A_NOT_APPROVED,Bloomberg,60,Awaiting approval,Approve transaction
P2,c4578c12-33f5-4380-b23d-c2fcc76df07e,A_NOT_APPROVED,Bloomberg,60,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,e3d460cb-7014-46dc-a56d-0896d6befaf7,A_NOT_APPROVED,Saltgrass Steak House,144.24,Awaiting approval,Approve transaction
P2,e3d460cb-7014-46dc-a56d-0896d6befaf7,A_NOT_APPROVED,Saltgrass Steak House,144.24,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,cc8d98a4-fab5-4ba0-853a-982816b02235,A_NOT_APPROVED,Jetblue,78,Awaiting approval,Resolve policy violation/exception in Ramp policy workflow
P1,cc8d98a4-fab5-4ba0-853a-982816b02235,A_NOT_APPROVED,Jetblue,78,Awaiting approval,Approve transaction
P2,cc8d98a4-fab5-4ba0-853a-982816b02235,A_NOT_APPROVED,Jetblue,78,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,269f23dc-e5dc-41a9-acae-76c2d50f974d,A_NOT_APPROVED,Uber,94.93,Awaiting approval,Approve transaction
P2,269f23dc-e5dc-41a9-acae-76c2d50f974d,A_NOT_APPROVED,Uber,94.93,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,8d3f3a23-637b-4d81-99a5-fa2d18036e72,A_NOT_APPROVED,Uber,28.65,Awaiting approval,Approve transaction
P2,8d3f3a23-637b-4d81-99a5-fa2d18036e72,A_NOT_APPROVED,Uber,28.65,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,dcd0187b-75b8-4d34-a578-9c6c57433c13,A_NOT_APPROVED,Starbucks,9.54,Awaiting approval,Approve transaction
P2,dcd0187b-75b8-4d34-a578-9c6c57433c13,A_NOT_APPROVED,Starbucks,9.54,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,4fa4a1a4-3d4f-4527-96ab-17b2ffed2d1c,A_NOT_APPROVED,Uber,5.74,Awaiting approval,Approve transaction
P2,4fa4a1a4-3d4f-4527-96ab-17b2ffed2d1c,A_NOT_APPROVED,Uber,5.74,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,3722cb26-f6e0-4005-afcb-611254e35362,A_NOT_APPROVED,Starbucks,5.46,Awaiting approval,Approve transaction
P2,3722cb26-f6e0-4005-afcb-611254e35362,A_NOT_APPROVED,Starbucks,5.46,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,921617c1-2490-4cfd-9938-7d9753222299,A_NOT_APPROVED,Gogo InFlight,6.72,Awaiting approval,Approve transaction
P2,921617c1-2490-4cfd-9938-7d9753222299,A_NOT_APPROVED,Gogo InFlight,6.72,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,cc9f7471-4106-4bed-94c8-392450f49615,A_NOT_APPROVED,Premier Rider Service,136.81,Awaiting approval,Approve transaction
P2,cc9f7471-4106-4bed-94c8-392450f49615,A_NOT_APPROVED,Premier Rider Service,136.81,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,4a292c69-88be-4143-ab5c-16e29bfc2282,A_NOT_APPROVED,Premier Rider Service,28,Awaiting approval,Approve transaction
P2,4a292c69-88be-4143-ab5c-16e29bfc2282,A_NOT_APPROVED,Premier Rider Service,28,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Attach receipt
P1,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Add memo
P1,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Approve transaction
P2,f4e92e8e-a519-4342-b279-2457d40c4f8f,A_NOT_APPROVED,TRP Taste,1000,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,a3971103-4ef0-4ec9-a324-9ab7ad8b27de,A_NOT_APPROVED,Uber,6.15,Awaiting approval,Approve transaction
P2,a3971103-4ef0-4ec9-a324-9ab7ad8b27de,A_NOT_APPROVED,Uber,6.15,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,782dbd88-a860-435e-a070-e467d4365d45,A_NOT_APPROVED,Uber,34.98,Awaiting approval,Approve transaction
P2,782dbd88-a860-435e-a070-e467d4365d45,A_NOT_APPROVED,Uber,34.98,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
P1,244eb6bc-0bdb-4d16-9d97-191b68269c52,A_NOT_APPROVED,Tastes On The Fly,36.24,Awaiting approval,Approve transaction
P2,244eb6bc-0bdb-4d16-9d97-191b68269c52,A_NOT_APPROVED,Tastes On The Fly,36.24,Awaiting approval,Run historical backfill/re-export from Ramp accounting sync
